,emoji,s.writer,s.reader,sd,count,description,,diff
__,X1f499,0.863636364,0.73,0.408679615,44,BLUE HEART,,-0.133636364
__,X1f61a,0.785714286,0.71,0.417855447,28,KISSING FACE WITH CLOSED EYES,,-0.075714286
__,X1f37b,0.765625,0.512,0.523394242,32,CLINKING BEER MUGS,,-0.253625
__,X1f619,0.738636364,0.778,0.511366573,44,KISSING FACE WITH SMILING EYES,,0.039363636
__,X1f483,0.71875,0.734,0.482895735,80,DANCING WOMAN,,0.01525
__,X1f3b5,0.711538462,0.5,0.493418219,26,MUSICAL NOTE,,-0.211538462
__,X1f64c,0.691919192,0.559,0.533122639,99,PERSON RAISING BOTH HANDS IN CELEBRATION,,-0.132919192
__,X1f44f,0.691803279,0.52,0.513083776,305,CLAPPING HANDS SIGN,,-0.171803279
__,X1f384,0.689189189,0.531,0.490908333,37,CHRISTMAS TREE,,-0.158189189
__,X1f3b6,0.684210526,0.537,0.512295478,38,MULTIPLE MUSICAL NOTES,,-0.147210526
__,X1f31e,0.653846154,0.558,0.50202021,39,SUN WITH FACE,,-0.095846154
__,X1f4aa,0.646067416,0.555,0.525274741,445,FLEXED BICEPS,,-0.091067416
__,X1f38a,0.64516129,0.721,0.486373457,31,CONFETTI BALL,,0.07583871
__,X1f44d,0.642361111,0.521,0.544734678,288,THUMBS UP SIGN,,-0.121361111
__,X1f389,0.632352941,0.738,0.488155924,170,PARTY POPPER,,0.105647059
__,X1f618,0.599137931,0.701,0.55134557,232,FACE THROWING A KISS,,0.101862069
__,X1f61c,0.590909091,0.455,0.5700648,88,FACE WITH STUCK-OUT TONGUE AND WINKING EYE,,-0.135909091
__,X1f44c,0.561111111,0.563,0.59881802,90,OK HAND SIGN,,0.001888889
__,X1f382,0.450819672,0.613,0.499627283,122,BIRTHDAY CAKE,,0.162180328
__,X1f381,0.4,0.759,0.49280538,85,WRAPPED PRESENT,,0.359
__,X1f388,0.341463415,0.718,0.480091455,41,BALLOON,,0.376536585
__,X1f525,0.316666667,0.139,0.835457064,30,FIRE,,-0.177666667
__,X1f631,0.2,0.19,0.790974731,40,FACE SCREAMING IN FEAR,,-0.01
__,X1f62c,0.1875,0.194,0.666866957,40,GRIMACING FACE,,0.0065
__,X1f64f,0.180327869,0.417,0.645708828,61,PERSON WITH FOLDED HANDS,,0.236672131
__,X1f44e,-0.102564103,-0.188,0.828596524,39,THUMBS DOWN SIGN,,-0.085435897
__,X1f62d,-0.195121951,-0.093,0.646720586,82,LOUDLY CRYING FACE,,0.102121951
__,X1f629,-0.209302326,-0.368,0.525906905,43,WEARY FACE,,-0.158697674
__,X1f615,-0.216216216,-0.397,0.53412104,37,CONFUSED FACE,,-0.180783784
__,X1f625,-0.275,0.122,0.633961182,60,DISAPPOINTED BUT RELIEVED FACE,,0.397
__,X1f622,-0.279411765,0.007,0.660067573,68,CRYING FACE,,0.286411765
__,X1f613,-0.306122449,-0.08,0.575690948,49,FACE WITH COLD SWEAT,,0.226122449
__,X1f614,-0.316326531,-0.146,0.674644023,49,PENSIVE FACE,,0.170326531
__,X1f611,-0.328125,-0.311,0.576549455,32,EXPRESSIONLESS FACE,,0.017125
__,X1f623,-0.364864865,-0.212,0.573108588,37,PERSEVERING FACE,,0.152864865
__,X1f61e,-0.394366197,-0.118,0.506497024,71,DISAPPOINTED FACE,,0.276366197
__,X1f621,-0.613207547,-0.173,0.551584339,53,POUTING FACE,,0.440207547